Date,Open,High,Low,Close,Adj Close,Volume
1/8/2006,161,164.4799957,153.3600006,154.5599976,120.489151,83900
1/9/2006,155.3999939,158.1600037,133.2400055,142.1199951,110.7913284,929725
1/10/2006,141.5200043,155.1600037,131.6000061,150.6399994,117.456665,557800
1/11/2006,148.8800049,165.4799957,146.4799957,164.8399963,128.5287476,193325
1/12/2006,164.1999969,166.5200043,152.1999969,152.2799988,118.7354889,109725
1/1/2007,150.3600006,157.5200043,141.4799957,156.8800049,122.4205093,614250
1/2/2007,157.6799927,161.2400055,153.4400024,154.6399994,120.6724548,220650
1/3/2007,151.3999939,164.3200073,148.6799927,162.9199982,127.1337204,447350
1/4/2007,163.5599976,177.1199951,162.9600067,173,135.0804901,299600
1/5/2007,173.3200073,186.6799927,172.5599976,186,145.2310181,651775
1/6/2007,188,196.4400024,177.5599976,183.4799957,143.2633667,915075
1/7/2007,184.0399933,194.1199951,173.0399933,175.7200012,137.2954102,1245725
1/8/2007,176.6399994,180.4799957,161.1999969,172.4400024,134.7326813,1506975
1/9/2007,173.7200012,192,172.7599945,188.1199951,146.9838867,861575
1/10/2007,189.6399994,211.6399994,189.0800018,211.6399994,165.4341736,1146250
1/11/2007,208.3200073,214.3999939,187.3999939,194.0800018,151.707962,1278625
1/12/2007,195.3600006,211.5200043,192.4799957,208,162.5887909,864750
1/1/2008,211.2400055,214,169.2400055,192.1600037,150.3035431,2079600
1/2/2008,193,223.9600067,186.1199951,217.9199982,170.4524384,3183775
1/3/2008,218.8000031,222.3999939,189.3200073,215,168.1685028,1589925
1/4/2008,214.3200073,248.9600067,212.9600067,235.5599976,184.3605194,1235675
1/5/2008,235,272.2399902,225.1999969,259.0799866,202.7683411,4615575
1/6/2008,261.2000122,286.6400146,258,281.1199951,220.0180359,4236850
1/7/2008,279.1600037,292.1600037,206.4799957,216.3200073,169.4347229,9846950
1/8/2008,216,228.5200043,196.6000061,220.1199951,172.411087,12060275
1/9/2008,215.2400055,215.2400055,163.2799988,179.3200073,140.454071,8514875
1/10/2008,179.7599945,179.7599945,95.27999878,136.0399933,106.6947784,6603150
1/11/2008,137.0800018,141.8399963,91.59999847,124.3199997,97.50288391,6255000
1/12/2008,117.6800003,126.8799973,91.55999756,118.5599976,92.98540497,12044475
1/1/2009,118.6800003,138.4799957,107.8399963,119.6399994,94.10723114,13428025
1/2/2009,117.1600037,132.6399994,99.08000183,104.0400009,81.83652496,13526900
1/3/2009,100.6399994,121.2399979,92.08000183,106.4000015,83.69284058,17749200
1/4/2009,105.4000015,127.9199982,104.2399979,123.4400024,97.29439545,9985800
1/5/2009,123.7600021,147.3999939,123.1999969,144.5200043,113.9094772,10279350
1/6/2009,148,155.5200043,120.2399979,126.8799973,100.0057526,12654900
1/7/2009,128.3600006,141.4799957,111.5999985,139.6799927,110.3360596,11622275
1/8/2009,141.7599945,148.1999969,134.3200073,140.8399963,111.2523575,11057600
1/9/2009,140.7599945,160.9600067,136.4799957,154.6399994,122.1532288,9769750
1/10/2009,154.9600067,176.6799927,144.6399994,153.8000031,121.7208252,12091425
1/11/2009,155.1600037,164.3200073,150.6000061,153.6399994,121.5942764,11973275
1/12/2009,155.7599945,170.4799957,147.8000031,164.8399963,130.4581451,10060550
1/1/2010,167.6000061,178.4799957,157.6000061,157.8399963,125.1520309,16667200
1/2/2010,160.1600037,170.1199951,152.6399994,164.1199951,130.1314697,18262100
1/3/2010,165.2400055,175.8800049,161.3200073,168.5200043,133.6202393,25405025
1/4/2010,170.8399963,183.8000031,170,178.7200012,141.7980499,28894825
1/5/2010,179.0800018,183.7200012,148.0800018,163.8800049,130.02388,37592750
1/6/2010,160.7200012,179.6799927,155.5599976,155.9600067,123.7401276,28770700
1/7/2010,155.3999939,167.6000061,150.3200073,162.3200073,128.9477997,24511350
1/8/2010,165.2400055,171.8800049,149.7599945,154.0800018,122.4019318,18861575
1/9/2010,157.2400055,170.9600067,156.5599976,169.0399933,134.2861481,18764125
1/10/2010,169.8800049,181.3600006,167.7599945,175.3999939,139.4855499,18748350
1/11/2010,179.1199951,195.8000031,176.7599945,192.9600067,153.4499664,22364675
1/12/2010,196.7599945,212.3600006,195.4400024,211,167.7961426,13477150
1/1/2011,213.7200012,227,208.9600067,227,180.7805786,14116450
1/2/2011,227.7200012,248.8800049,226.4400024,246.7599945,196.5172882,18301450
1/3/2011,248.3200073,260.2399902,225.6399994,257.6799927,205.2138824,25541575
1/4/2011,260.5599976,263.0400085,237.7599945,254.8800049,204.0797577,15345325
1/5/2011,255.6399994,256.519989,221.4799957,243.6000061,195.0479736,41741725
1/6/2011,243.0399933,244.6000061,215.8800049,235.1199951,188.2581329,36706950
1/7/2011,235.6399994,262.3200073,229.2400055,248.8000031,199.345459,29823925
1/8/2011,254,254.8800049,182.8000031,214.6799927,172.0075378,52503450
1/9/2011,214.5200043,218.1600037,171.1999969,171.4400024,137.3624725,38380875
1/10/2011,169.6399994,230.7200012,150.6799927,215.3999939,172.821579,48585750
1/11/2011,205.6000061,230.6799927,192.5599976,220.6799927,177.0578613,36008725
1/12/2011,219.6399994,227.6000061,193.5200043,210.7599945,169.0987549,27242275
1/1/2012,216.9600067,229.2799988,209,218.3200073,175.7182617,20935100
1/2/2012,220.6000061,247.0800018,216.7200012,237.2799988,190.9785156,21466275
1/3/2012,238.8399963,247.2400055,222.8000031,227.6399994,183.2195892,23470275
1/4/2012,227.1199951,233.1600037,204.0399933,225.4799957,181.8296204,25148825
1/5/2012,225.5200043,230.5200043,186.0399933,191.7200012,154.6052094,29808200
1/6/2012,187.1199951,203.3600006,176.9199982,201.6000061,162.5725403,31790300
1/7/2012,200.1600037,210.5200043,191.7599945,204.9199982,165.6292267,19255200
1/8/2012,206.1199951,218.5599976,196.3200073,210.9600067,170.5111084,22316375
1/9/2012,210.6799927,239.1999969,207.5200043,222.7599945,180.0485992,17863750
1/10/2012,224.8000031,229.8800049,210.8399963,215.0800018,174.1867065,22293075
1/11/2012,215.0399933,219.3999939,200.1999969,212.0399933,171.724762,23842400
1/12/2012,215.2400055,224.5200043,208.5599976,216.3200073,175.190979,18561550
1/1/2013,221.8800049,237.1199951,217.5200043,232.3999939,189.3026276,15207700
1/2/2013,233.3200073,239.6000061,222.8800049,231.8800049,188.8790894,18895850
1/3/2013,229.5200043,250.6399994,227.5599976,241.9600067,197.0897827,20271700
1/4/2013,242.0800018,243.3999939,216.1600037,229.4799957,187.4463348,29289400
1/5/2013,228.2799988,253.1999969,223.8399963,241.5599976,197.3136597,27573550
1/6/2013,242.8000031,247.2799988,223.9600067,232.7200012,190.092865,19676200
1/7/2013,234.2400055,253.2400055,232.4799957,249.3999939,204.4104156,16941600
1/8/2013,252.8000031,257.6799927,240.7200012,248,203.2629852,19960800
1/9/2013,251.5200043,267.2000122,248.8399963,263.3999939,215.8849182,15329075
1/10/2013,263.2399902,295.0400085,259.8800049,278.3200073,228.5254822,32814450
1/11/2013,279.7999878,285.480011,263.8800049,271.1199951,222.6136017,33053150
1/12/2013,271.8399963,277.2399902,257.0799866,274.1199951,225.076889,24492275
1/1/2014,272.480011,276.3599854,257.4400024,263,216.2179565,25714275
1/2/2014,262.9599915,285.0799866,254.6799927,278.7600098,229.1747284,20463250
1/3/2014,277.2799988,290.2399902,270.1600037,287.3200073,236.2121277,17226575
1/4/2014,287,314.7200012,282.8800049,310.4400024,255.7144012,19774750
1/5/2014,309.3200073,311.7600098,291.3999939,308.1600037,253.8364105,17191525
1/6/2014,308.3200073,336.1600037,302.9200134,329.1199951,271.1013794,16603075
1/7/2014,329.3999939,330.7600098,300.2399902,301.1600037,248.5570679,26210050
1/8/2014,300.3999939,316.4400024,291.0400085,316.2000122,260.9699402,28291500
1/9/2014,315.2399902,315.6000061,273.0400085,275.3200073,227.230423,37504650
1/10/2014,276.1600037,278.7200012,208.6000061,243.4799957,201.4102631,95394675
1/11/2014,243.4799957,251.9600067,203.5599976,204.3200073,169.0165558,42422200
1/12/2014,204.1199951,208.0399933,168.1600037,191.4400024,158.36203,59428725
1/1/2015,189.1999969,195.1600037,166.5200043,184.7200012,153.473053,62222675
1/2/2015,189.0800018,216.8399963,186.6799927,203.2400055,168.86026,65330675
1/3/2015,201.8000031,206.6399994,183.8000031,206.6399994,171.6851044,50784375
1/4/2015,199,224.7200012,198.2400055,220.3600006,183.6816101,48491500
1/5/2015,219.5599976,221.6000061,194.3600006,198.1199951,165.1433868,37202650
1/6/2015,197.2400055,202.4799957,184.8399963,186.6399994,155.5742035,33020700
1/7/2015,184.9600067,187.4400024,148.7599945,153.3999939,128.3532257,70895525
1/8/2015,151.3600006,163.0800018,131.1199951,152.8800049,127.9181137,64051900
1/9/2015,146.7599945,152.4799957,126.5599976,131.3600006,109.9118195,55440275
1/10/2015,134.6000061,163.2799988,130.8000031,148.3200073,124.7244568,72977200
1/11/2015,146.8399963,161.1199951,142.3999939,148.5200043,124.8926239,58278700
1/12/2015,148.1600037,149.9600067,113.1999969,120.8799973,101.6497192,84034675
1/1/2016,120.5999985,123.4000015,88.23999786,113.9599991,96.29644012,110182950
1/2/2016,111.1600037,113.9199982,91.87999725,98.40000153,83.14820862,113046900
1/3/2016,98.91999817,126.7200012,95.87999725,121.4000015,102.5832825,145824075
1/4/2016,118.4400024,149.2400055,116.0800018,142.9600067,121.138031,107049225
1/5/2016,142.6000061,145.2799988,128.3999939,142.0800018,120.3923035,91093325
1/6/2016,140.1199951,153.1199951,129.6399994,139.2400055,117.985878,82063500
1/7/2016,139.5200043,144.8399963,131.1600037,137,116.3364487,65948600
1/8/2016,135.3200073,152.6799927,128.8399963,147.1600037,124.9640427,77576550
1/9/2016,146.4799957,157.0399933,139.3999939,153.8399963,130.6364899,103223600
1/10/2016,154,158.1199951,140.8800049,141.3999939,120.3414612,85779225
1/11/2016,143.8399963,168.0399933,136.5200043,167.7200012,142.7416687,109494825
1/12/2016,172.5599976,179.8800049,163.9199982,165.6799927,141.0054779,79100500
1/1/2017,168.4799957,170.6799927,158.3600006,160.3200073,136.6882324,55814525
1/2/2017,161.3200073,163.8399963,150.8000031,151.4400024,129.117218,59171100
1/3/2017,153.1600037,155.8399963,138.2400055,149.7599945,127.6847992,98812975
1/4/2017,149.5599976,154.5599976,138.6000061,139.8000031,119.4346619,85485850
1/5/2017,139.3200073,145.9600067,128.2799988,130.2799988,111.3014603,93508375
1/6/2017,131.1999969,134.7200012,119.5999985,127.6800003,109.0802002,123134175
1/7/2017,128.7200012,134.1600037,119.6800003,130.0800018,111.3930283,81949075
1/8/2017,129.9199982,130.6399994,115.8399963,120.6399994,103.3091507,77918675
1/9/2017,120.6800003,138.7599945,118.1200027,136.3600006,116.7708588,78017350
1/10/2017,134,138,126.6800003,137.1199951,117.6840057,59100600
1/11/2017,138.2400055,147.5599976,135.3999939,142.8800049,122.627594,88040050
