Date,Adj Close
1/1/2013,112.5278261
1/2/2013,116.488
1/3/2013,109.5857143
1/4/2013,102.96
1/5/2013,102.9804348
1/6/2013,103.3585
1/7/2013,107.7795652
1/8/2013,111.0581818
1/9/2013,111.9628571
1/10/2013,109.6186957
1/11/2013,108.1504762
1/12/2013,111.0704545
1/1/2014,107.9269565
1/2/2014,108.838
1/3/2014,107.8680952
1/4/2014,108.0036364
1/5/2014,109.8322727
1/6/2014,112.2409524
1/7/2014,107.4626087
1/8/2014,102.4019048
1/9/2014,97.85272727
1/10/2014,87.58478261
1/11/2014,79.2295
1/12/2014,62.90391304
1/1/2015,48.93318182
1/2/2015,58.254
1/3/2015,56.52454545
1/4/2015,59.82636364
1/5/2015,65.19380952
1/6/2015,62.62
1/7/2015,56.82956522
1/8/2015,47.53380952
1/9/2015,48.03045455
1/10/2015,48.90636364
1/11/2015,45.0952381
1/12/2015,38.52521739
1/1/2016,32.0452381
1/2/2016,33.76238095
1/3/2016,39.79217391
1/4/2016,43.33047619
1/5/2016,47.735
1/6/2016,49.87727273
1/7/2016,46.59857143
1/8/2016,47.05217391
1/9/2016,47.37681818
1/10/2016,51.41380952
1/11/2016,46.94227273
1/12/2016,55.02272727
1/1/2017,55.71090909
1/2/2017,56.096
1/3/2017,52.65521739
1/4/2017,53.978
1/5/2017,51.37434783
1/6/2017,47.65272727
1/7/2017,49.25333333
1/8/2017,51.92782609
1/9/2017,55.55761905
1/10/2017,57.53636364
1/11/2017,62.83636364
1/12/2017,64.06428571
1/1/2018,68.88913043
1/2/2018,65.6965
1/3/2018,66.89181818
1/4/2018,71.93285714
1/5/2018,76.93434783
1/6/2018,75.80285714
1/7/2018,75.22909091
1/8/2018,73.85130435
1/9/2018,79.163
1/10/2018,80.78347826
1/11/2018,66.22863636
1/12/2018,57.94809524
1/1/2019,59.94478261
1/2/2019,64.384
1/3/2019,66.94190476
1/4/2019,71.47590909
1/5/2019,70.38913043
1/6/2019,63.2085
1/7/2019,64.32217391
1/8/2019,59.61818182
1/9/2019,62.43095238
1/10/2019,59.63130435
1/11/2019,62.68666667
1/12/2019,65.34818182
1/1/2020,63.89869565
1/2/2020,55.691
1/3/2020,33.94727273
1/4/2020,26.84863636
1/5/2020,32.42238095
1/6/2020,40.86045455
1/7/2020,43.29565217
1/8/2020,45.08142857
1/9/2020,41.92681818
1/10/2020,41.60681818
1/11/2020,44.05
1/12/2020,50.37695652
1/1/2021,55.2247619
1/2/2021,62.3625
1/3/2021,65.79608696
1/4/2021,65.53181818
1/5/2021,68.3752381
1/6/2021,73.51272727
1/7/2021,74.40318182
1/8/2021,70.58818182
1/9/2021,74.74954545
1/10/2021,83.8652381
1/11/2021,80.89045455
1/12/2021,74.67826087
1/1/2022,85.62238095
1/2/2022,94.267
1/3/2022,112.44
1/4/2022,106.1557143
1/5/2022,112.1136364
1/6/2022,117.6927273
1/7/2022,105.2528571
1/8/2022,97.64304348
1/9/2022,90.60818182
1/10/2022,93.71857143
1/11/2022,90.93863636
1/12/2022,81.50318182
1/1/2023,84.08181818
1/2/2023,83.6325
1/3/2023,79.25652174
1/4/2023,83.536
1/5/2023,75.7473913
1/6/2023,74.975
1/7/2023,80.10904762
1/8/2023,85.16826087
1/9/2023,92.67333333
1/10/2023,88.94772727
1/11/2023,82.18636364
1/12/2023,77.54095238
1/1/2024,79.11
1/2/2024,81.79571429
1/3/2024,84.96142857
1/4/2024,88.97454545
1/5/2024,83.05391304
1/6/2024,82.9175
1/7/2024,84.04869565
1/8/2024,79.01863636
1/9/2024,73.05761905
1/10/2024,75.26652174
1/11/2024,73.50857143
1/12/2024,73.22772727
